,translation
0,"低分化鳞癌&*脾虚胃弱,化疗伤正,肝肾亏损,多脏受累,"
0,"隐痛&*肝气入络,心气不足,痰浊瘀结,脉虚津气两伤,痰浊淤毒阻肺,痰瘀瘀毒阻肺,"
0,"低烧&*痰瘀热毒互结,肺虚阴伤气耗,肺虚饮停,肺虚阴伤,肝肺同病,痰瘀热毒蕴肺,化源不足,脾运不健,肝气乘侮,肺虚热蕴,肺虚络瘀,阴气耗伤,"
0,"胸闷胸痛&*痰瘀热毒互结,痰浊瘀阻,气阴亏耗,肺虚阴伤,肺胃两伤,脾虚肺弱,肺伤络损,"
0,"咯痰困难&*肺损络伤,化源不足,痰热瘀阻,脾胃伤败,毒伤气阴,"
0,"食纳尚好&*癌毒伤正,热毒痰瘀阻滞,肺络损伤,损及肝肾,脾虚肺弱,气滞,肝胃不和,湿阻津气两伤,肺虚络痹,"
0,"腺癌&*气阴两虚,痰热瘀毒不尽,痰瘀郁肺,脾虚阴伤气耗,癌毒不尽,腑气不通,病难逆转,伤阴耗气,化疗损正,正气溃败,金不制木,痰瘀郁结,肝损络伤,"
0,"痰白不多&*痰瘀郁肺,"
0,"右下肺癌&*气阴两虚,肝气乘侮,瘀毒走注上蒙,肺虚络瘀,气机升降不利,风痰毒瘀走注,"
0,"胆结石&*肺虚阴伤气耗,肺胃两伤,痰瘀毒郁,气滞,肝胃不和,湿阻津气两伤,津气耗损,"
0,"难咯&*肺虚脾弱,气阴交亏,肺虚络伤,肺心同病,化源不足,脾运不健,"
0,"右上肺占位&*肺损络伤,气阴亏耗,气阴交亏,肺虚络伤,痰瘀瘀肺,痰饮郁肺,"
0,"右上肺癌&*痰瘀热毒阻肺,痰浊瘀阻,肺胃两伤,肺络损伤,肝肾亏损,气血两伤,痰热浊瘀,胃气不和,肺虚劳热,风痰瘀阻上蒙,热毒痰浊,术后气阴两伤,胃虚脾弱,久病气阴两伤,"
0,"右胸隐痛&*肺胃同病,"
0,"面色萎黄&*气阴耗伤,正气虚败,肺损体虚,毒痰瘀阻,清阳不张,胃弱气滞,"
0,"嗳气&*肺胃不和,热毒痰瘀内蕴,肺虚阴伤,热毒蕴肺,气耗络损,"
0,"精神萎靡&*肺胃同病,痰瘀上蒙,热毒痰瘀蕴肺,正虚气阴两伤,病入损途,肺阴耗伤,痰毒互结,瘀热内蕴,通降失常,津气耗伤,"
0,"吸烟&*肺虚气阴两伤,肺气不清,肺热内郁,痰浊热毒瘀结,肝郁伤神,热毒痰瘀阻滞,木火刑金,虚实错杂,"
0,"胸闷憋气&*肺虚阴伤气耗,肾督受损,痰瘀饮停,湿浊瘀阻,肺络损伤,热毒伤肺,脾肾两虚,瘀毒专注,气火上逆,肝损络伤,心肺受损,"
0,"晕厥&*风痰瘀阻,热毒内蕴,肺胃不和,清阳不展,痰毒郁肺,瘀毒专注,"
0,"腰酸&*津气两伤,胃气虚败,肝肺俱损,"
0,"白细胞低下&*肝肾不足,气阴亏耗,肺虚络伤,热毒瘀肺,瘀毒走注上蒙,脾胃不调,"
